Produto Buscado,Produto Encontrado,Preço,Categoria,Status
7898905100023,,,"Erro: Page.fill: Target crashed 
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7898956358015,,,"Erro: Page.fill: Target crashed 
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891035800214,,,"Erro: Page.fill: Target page, context or browser has been closed"
7891035285165,,,"Erro: Page.fill: Target page, context or browser has been closed"
7891035285172,,,"Erro: Page.fill: Target page, context or browser has been closed"
7891035249228,,,"Erro: Page.fill: Target page, context or browser has been closed"
7896098900208,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891022638004,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891022640007,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891022639001,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7896098900239,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7896098900253,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7896098900215,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7896098900222,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7896098900277,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7500435141987,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891022860955,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891040204465,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891022100938,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891040222476,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891022101003,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7896013105657,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7896013100669,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7896013100386,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7896221600012,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891022100280,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891022100990,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891022080025,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7897744501176,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
7891024193006,,,"Erro: Page.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""input[placeholder=\""Buscar\""]"")
"
